Episode,Step,Return,Algorithm
0,54,-63.0,ppo
1,32,-32.0,ppo
2,16,-14.0,ppo
3,14,-12.0,ppo
4,10,-10.0,ppo
5,8,-10.0,ppo
6,14,-13.0,ppo
7,11,-13.0,ppo
8,14,-13.0,ppo
9,28,-17.0,ppo
10,14,-15.0,ppo
11,100,-110.0,ppo
12,100,-110.0,ppo
13,12,-9.0,ppo
14,16,-10.0,ppo
15,21,-16.0,ppo
16,7,-10.0,ppo
17,14,-13.0,ppo
18,14,-15.0,ppo
19,41,-41.0,ppo
20,100,-110.0,ppo
21,16,-12.0,ppo
22,100,-110.0,ppo
23,100,-110.0,ppo
24,100,-110.0,ppo
25,100,-133.0,ppo
26,12,-14.0,ppo
27,50,-50.0,ppo
28,100,-113.0,ppo
29,8,-12.0,ppo
30,11,-11.0,ppo
31,19,-10.0,ppo
32,100,-110.0,ppo
33,48,-18.0,ppo
34,100,-110.0,ppo
35,100,-128.0,ppo
36,100,-110.0,ppo
37,15,-10.0,ppo
38,24,-20.0,ppo
39,100,-110.0,ppo
40,100,-110.0,ppo
41,11,-11.0,ppo
42,25,-16.0,ppo
43,100,-110.0,ppo
44,32,-32.0,ppo
45,20,-10.0,ppo
46,100,-110.0,ppo
47,12,-13.0,ppo
48,29,-12.0,ppo
49,63,-34.0,ppo
50,5,-9.0,ppo
51,23,-22.0,ppo
52,100,-110.0,ppo
53,100,-110.0,ppo
54,67,-67.0,ppo
55,15,-12.0,ppo
56,27,-11.0,ppo
57,11,-11.0,ppo
58,67,-67.0,ppo
59,12,-11.0,ppo
60,100,-110.0,ppo
61,19,-13.0,ppo
62,21,-12.0,ppo
63,100,-110.0,ppo
64,36,-20.0,ppo
65,100,-110.0,ppo
66,100,-110.0,ppo
67,15,-12.0,ppo
68,100,-110.0,ppo
69,100,-110.0,ppo
70,65,-65.0,ppo
71,18,-12.0,ppo
72,23,-19.0,ppo
73,100,-110.0,ppo
74,100,-110.0,ppo
75,24,-19.0,ppo
76,19,-15.0,ppo
77,59,-59.0,ppo
78,8,-9.0,ppo
79,100,-138.0,ppo
80,14,-12.0,ppo
81,20,-15.0,ppo
82,21,-13.0,ppo
83,100,-110.0,ppo
84,15,-10.0,ppo
85,100,-110.0,ppo
86,16,-13.0,ppo
87,19,-19.0,ppo
88,100,-110.0,ppo
89,30,-14.0,ppo
90,9,-9.0,ppo
91,13,-13.0,ppo
92,8,-11.0,ppo
93,54,-54.0,ppo
94,19,-11.0,ppo
95,12,-12.0,ppo
96,100,-110.0,ppo
97,34,-16.0,ppo
98,8,-9.0,ppo
99,100,-113.0,ppo
100,100,-130.0,ppo
101,11,-10.0,ppo
102,22,-15.0,ppo
103,100,-110.0,ppo
104,93,-93.0,ppo
105,27,-16.0,ppo
106,16,-17.0,ppo
107,75,-75.0,ppo
108,100,-110.0,ppo
109,13,-11.0,ppo
110,12,-11.0,ppo
111,11,-10.0,ppo
112,20,-16.0,ppo
113,20,-17.0,ppo
114,21,-11.0,ppo
115,100,-110.0,ppo
116,6,-10.0,ppo
117,37,-17.0,ppo
118,15,-13.0,ppo
119,11,-11.0,ppo
120,6,-9.0,ppo
121,16,-14.0,ppo
122,9,-10.0,ppo
123,20,-20.0,ppo
124,16,-12.0,ppo
125,11,-12.0,ppo
126,100,-110.0,ppo
127,13,-10.0,ppo
128,53,-53.0,ppo
129,33,-33.0,ppo
130,9,-10.0,ppo
131,32,-32.0,ppo
132,16,-12.0,ppo
133,38,-38.0,ppo
134,100,-110.0,ppo
135,10,-9.0,ppo
136,15,-10.0,ppo
137,55,-55.0,ppo
138,25,-18.0,ppo
139,13,-14.0,ppo
140,28,-18.0,ppo
141,14,-10.0,ppo
142,9,-10.0,ppo
143,11,-10.0,ppo
144,16,-16.0,ppo
145,9,-11.0,ppo
146,49,-49.0,ppo
147,5,-9.0,ppo
148,81,-102.0,ppo
149,10,-11.0,ppo
150,52,-64.0,ppo
151,60,-60.0,ppo
152,36,-36.0,ppo
153,7,-9.0,ppo
154,78,-78.0,ppo
155,4,-9.0,ppo
156,6,-9.0,ppo
157,100,-110.0,ppo
158,22,-14.0,ppo
159,16,-12.0,ppo
160,55,-55.0,ppo
161,12,-12.0,ppo
162,9,-9.0,ppo
163,13,-12.0,ppo
164,13,-14.0,ppo
165,20,-14.0,ppo
166,100,-110.0,ppo
167,15,-13.0,ppo
168,10,-10.0,ppo
169,6,-11.0,ppo
170,12,-10.0,ppo
171,11,-11.0,ppo
172,11,-11.0,ppo
173,61,-61.0,ppo
174,13,-12.0,ppo
175,13,-11.0,ppo
176,12,-14.0,ppo
177,24,-24.0,ppo
178,24,-24.0,ppo
179,100,-110.0,ppo
180,12,-13.0,ppo
181,82,-82.0,ppo
182,11,-14.0,ppo
183,99,-99.0,ppo
184,22,-16.0,ppo
185,35,-35.0,ppo
186,19,-10.0,ppo
187,84,-102.0,ppo
188,20,-12.0,ppo
189,80,-80.0,ppo
190,38,-38.0,ppo
191,6,-9.0,ppo
192,79,-79.0,ppo
193,14,-10.0,ppo
194,35,-19.0,ppo
195,20,-14.0,ppo
196,36,-13.0,ppo
197,22,-22.0,ppo
198,15,-11.0,ppo
199,73,-73.0,ppo
200,41,-41.0,ppo
201,11,-9.0,ppo
202,43,-43.0,ppo
203,11,-12.0,ppo
204,19,-11.0,ppo
205,100,-132.0,ppo
206,30,-30.0,ppo
207,44,-44.0,ppo
208,15,-9.0,ppo
209,42,-42.0,ppo
210,30,-30.0,ppo
211,27,-27.0,ppo
212,15,-17.0,ppo
213,23,-23.0,ppo
214,8,-11.0,ppo
215,91,-91.0,ppo
216,48,-48.0,ppo
217,22,-14.0,ppo
218,13,-11.0,ppo
219,35,-35.0,ppo
220,42,-42.0,ppo
221,9,-11.0,ppo
222,27,-27.0,ppo
223,11,-10.0,ppo
224,10,-11.0,ppo
225,25,-25.0,ppo
226,14,-13.0,ppo
227,13,-15.0,ppo
228,18,-10.0,ppo
229,16,-12.0,ppo
230,24,-9.0,ppo
231,13,-11.0,ppo
232,35,-15.0,ppo
233,26,-26.0,ppo
234,6,-9.0,ppo
235,47,-47.0,ppo
236,49,-49.0,ppo
237,9,-11.0,ppo
238,25,-25.0,ppo
239,26,-26.0,ppo
240,7,-10.0,ppo
241,8,-9.0,ppo
242,31,-31.0,ppo
243,33,-33.0,ppo
244,7,-10.0,ppo
245,51,-51.0,ppo
246,9,-10.0,ppo
247,54,-54.0,ppo
248,13,-10.0,ppo
249,8,-9.0,ppo
250,38,-38.0,ppo
251,34,-34.0,ppo
252,19,-19.0,ppo
253,49,-49.0,ppo
254,33,-18.0,ppo
255,13,-11.0,ppo
256,16,-11.0,ppo
257,15,-12.0,ppo
258,8,-10.0,ppo
259,58,-58.0,ppo
