Episode,Step,Return,Algorithm
244,21,-21.0,PPO
245,30,-30.0,PPO
246,23,-23.0,PPO
247,15,-15.0,PPO
248,10,-10.0,PPO
249,13,-13.0,PPO
250,20,-20.0,PPO
251,17,-17.0,PPO
252,26,-26.0,PPO
253,9,-9.0,PPO
254,23,-23.0,PPO
255,32,-32.0,PPO
256,15,-15.0,PPO
257,20,-20.0,PPO
258,17,-17.0,PPO
259,32,-32.0,PPO
260,35,-35.0,PPO
261,11,-11.0,PPO
262,21,-21.0,PPO
263,15,-15.0,PPO
264,27,-27.0,PPO
265,10,-10.0,PPO
266,14,-14.0,PPO
267,20,-20.0,PPO
268,16,-16.0,PPO
269,13,-13.0,PPO
270,32,-32.0,PPO
271,14,-14.0,PPO
272,31,-31.0,PPO
273,16,-16.0,PPO
274,16,-16.0,PPO
275,14,-14.0,PPO
276,20,-20.0,PPO
277,11,-11.0,PPO
278,16,-16.0,PPO
279,14,-14.0,PPO
280,14,-14.0,PPO
281,19,-19.0,PPO
282,36,-36.0,PPO
283,20,-20.0,PPO
284,18,-18.0,PPO
285,22,-22.0,PPO
286,33,-33.0,PPO
287,24,-24.0,PPO
288,10,-10.0,PPO
289,13,-13.0,PPO
290,16,-16.0,PPO
291,21,-21.0,PPO
292,16,-16.0,PPO
293,19,-19.0,PPO
294,26,-26.0,PPO
295,8,-8.0,PPO
296,13,-13.0,PPO
297,8,-8.0,PPO
298,9,-9.0,PPO
299,14,-14.0,PPO
300,12,-12.0,PPO
301,18,-18.0,PPO
302,22,-22.0,PPO
303,12,-12.0,PPO
304,29,-29.0,PPO
305,8,-8.0,PPO
306,12,-12.0,PPO
307,18,-18.0,PPO
308,22,-22.0,PPO
309,23,-23.0,PPO
310,27,-27.0,PPO
311,13,-13.0,PPO
312,21,-21.0,PPO
313,10,-10.0,PPO
314,20,-20.0,PPO
315,16,-16.0,PPO
316,13,-13.0,PPO
317,22,-22.0,PPO
318,13,-13.0,PPO
319,18,-18.0,PPO
320,37,-37.0,PPO
321,20,-20.0,PPO
322,23,-23.0,PPO
323,14,-14.0,PPO
324,20,-20.0,PPO
325,17,-17.0,PPO
326,29,-29.0,PPO
327,14,-14.0,PPO
328,20,-20.0,PPO
329,18,-18.0,PPO
330,13,-13.0,PPO
331,15,-15.0,PPO
332,16,-16.0,PPO
333,13,-13.0,PPO
334,17,-17.0,PPO
335,16,-16.0,PPO
336,11,-11.0,PPO
337,15,-15.0,PPO
338,12,-12.0,PPO
339,24,-24.0,PPO
340,28,-28.0,PPO
341,16,-16.0,PPO
342,10,-10.0,PPO
343,17,-17.0,PPO
344,14,-14.0,PPO
345,8,-8.0,PPO
346,18,-18.0,PPO
347,20,-20.0,PPO
348,15,-15.0,PPO
349,20,-20.0,PPO
350,10,-10.0,PPO
351,27,-27.0,PPO
352,16,-16.0,PPO
353,10,-10.0,PPO
354,10,-10.0,PPO
355,15,-15.0,PPO
356,12,-12.0,PPO
357,22,-22.0,PPO
358,36,-36.0,PPO
359,10,-10.0,PPO
360,11,-11.0,PPO
361,14,-14.0,PPO
362,10,-10.0,PPO
363,8,-8.0,PPO
364,10,-10.0,PPO
365,9,-9.0,PPO
366,11,-11.0,PPO
367,9,-9.0,PPO
368,16,-16.0,PPO
369,25,-25.0,PPO
370,10,-10.0,PPO
371,13,-13.0,PPO
372,11,-11.0,PPO
373,17,-17.0,PPO
374,21,-21.0,PPO
375,23,-23.0,PPO
376,22,-22.0,PPO
377,27,-27.0,PPO
378,15,-15.0,PPO
379,9,-9.0,PPO
380,13,-13.0,PPO
381,17,-17.0,PPO
382,10,-10.0,PPO
383,17,-17.0,PPO
384,20,-20.0,PPO
385,13,-13.0,PPO
386,12,-12.0,PPO
387,11,-11.0,PPO
388,16,-16.0,PPO
389,15,-15.0,PPO
390,14,-14.0,PPO
391,17,-17.0,PPO
392,27,-27.0,PPO
393,10,-10.0,PPO
394,12,-12.0,PPO
395,20,-20.0,PPO
396,13,-13.0,PPO
397,16,-16.0,PPO
398,10,-10.0,PPO
399,16,-16.0,PPO
400,23,-23.0,PPO
401,11,-11.0,PPO
402,21,-21.0,PPO
403,11,-11.0,PPO
404,19,-19.0,PPO
405,17,-17.0,PPO
406,30,-30.0,PPO
407,17,-17.0,PPO
408,16,-16.0,PPO
409,19,-19.0,PPO
410,12,-12.0,PPO
411,20,-20.0,PPO
412,14,-14.0,PPO
413,10,-10.0,PPO
414,13,-13.0,PPO
415,17,-17.0,PPO
416,45,-45.0,PPO
417,29,-29.0,PPO
418,9,-9.0,PPO
419,19,-19.0,PPO
420,21,-21.0,PPO
421,10,-10.0,PPO
422,10,-10.0,PPO
423,12,-12.0,PPO
424,13,-13.0,PPO
425,13,-13.0,PPO
426,22,-22.0,PPO
427,23,-23.0,PPO
428,15,-15.0,PPO
429,14,-14.0,PPO
430,22,-22.0,PPO
431,20,-20.0,PPO
432,16,-16.0,PPO
433,21,-21.0,PPO
434,28,-28.0,PPO
435,26,-26.0,PPO
436,16,-16.0,PPO
437,23,-23.0,PPO
438,20,-20.0,PPO
439,14,-14.0,PPO
440,13,-13.0,PPO
441,14,-14.0,PPO
442,8,-8.0,PPO
443,12,-12.0,PPO
444,15,-15.0,PPO
445,11,-11.0,PPO
446,22,-22.0,PPO
447,13,-13.0,PPO
448,9,-9.0,PPO
449,8,-8.0,PPO
450,39,-39.0,PPO
451,23,-23.0,PPO
452,8,-8.0,PPO
453,27,-27.0,PPO
454,16,-16.0,PPO
455,11,-11.0,PPO
456,8,-8.0,PPO
457,33,-33.0,PPO
458,9,-9.0,PPO
459,20,-20.0,PPO
460,8,-8.0,PPO
461,10,-10.0,PPO
462,23,-23.0,PPO
463,20,-20.0,PPO
464,19,-19.0,PPO
465,11,-11.0,PPO
