Episode,Step,Return,Algorithm
0,100,-110.0,dqn
1,11,-13.0,dqn
2,100,-110.0,dqn
3,28,-19.0,dqn
4,100,-110.0,dqn
5,71,-71.0,dqn
6,46,-46.0,dqn
7,100,-110.0,dqn
8,14,-11.0,dqn
9,32,-24.0,dqn
10,11,-9.0,dqn
11,32,-22.0,dqn
12,76,-76.0,dqn
13,100,-110.0,dqn
14,11,-13.0,dqn
15,100,-110.0,dqn
16,72,-72.0,dqn
17,100,-110.0,dqn
18,100,-137.0,dqn
19,14,-14.0,dqn
20,10,-12.0,dqn
21,100,-110.0,dqn
22,24,-12.0,dqn
23,7,-9.0,dqn
24,100,-118.0,dqn
25,63,-63.0,dqn
26,7,-11.0,dqn
27,18,-15.0,dqn
28,100,-121.0,dqn
29,100,-131.0,dqn
30,100,-110.0,dqn
31,23,-13.0,dqn
32,100,-110.0,dqn
33,51,-21.0,dqn
34,23,-11.0,dqn
35,100,-110.0,dqn
36,59,-26.0,dqn
37,21,-14.0,dqn
38,28,-15.0,dqn
39,86,-86.0,dqn
40,100,-110.0,dqn
41,100,-110.0,dqn
42,9,-12.0,dqn
43,11,-13.0,dqn
44,13,-12.0,dqn
45,19,-16.0,dqn
46,19,-15.0,dqn
47,13,-12.0,dqn
48,100,-110.0,dqn
49,100,-110.0,dqn
50,16,-12.0,dqn
51,93,-93.0,dqn
52,23,-14.0,dqn
53,48,-25.0,dqn
54,47,-21.0,dqn
55,11,-9.0,dqn
56,25,-15.0,dqn
57,24,-15.0,dqn
58,100,-110.0,dqn
59,15,-17.0,dqn
60,100,-131.0,dqn
61,14,-11.0,dqn
62,12,-13.0,dqn
63,18,-11.0,dqn
64,100,-110.0,dqn
65,29,-15.0,dqn
66,9,-11.0,dqn
67,12,-10.0,dqn
68,100,-110.0,dqn
69,38,-18.0,dqn
70,39,-20.0,dqn
71,70,-70.0,dqn
72,100,-110.0,dqn
73,16,-11.0,dqn
74,85,-106.0,dqn
75,10,-12.0,dqn
76,100,-110.0,dqn
77,14,-14.0,dqn
78,12,-12.0,dqn
79,100,-110.0,dqn
80,80,-104.0,dqn
81,75,-75.0,dqn
82,57,-57.0,dqn
