Episode,Step,Return,Algorithm
0,1000,-2400.0,qlearning
1,434,-533.0,qlearning
2,230,-229.0,qlearning
3,198,-197.0,qlearning
4,308,-307.0,qlearning
5,127,-126.0,qlearning
6,271,-270.0,qlearning
7,247,-246.0,qlearning
8,91,-90.0,qlearning
9,271,-270.0,qlearning
10,49,-48.0,qlearning
11,243,-242.0,qlearning
12,273,-272.0,qlearning
13,74,-73.0,qlearning
14,270,-369.0,qlearning
15,78,-77.0,qlearning
16,159,-158.0,qlearning
17,240,-239.0,qlearning
18,81,-80.0,qlearning
19,202,-201.0,qlearning
20,36,-35.0,qlearning
21,159,-158.0,qlearning
22,150,-149.0,qlearning
23,150,-149.0,qlearning
24,105,-104.0,qlearning
25,100,-99.0,qlearning
26,171,-170.0,qlearning
27,134,-133.0,qlearning
28,118,-217.0,qlearning
29,78,-77.0,qlearning
30,137,-136.0,qlearning
31,107,-106.0,qlearning
32,119,-118.0,qlearning
33,94,-93.0,qlearning
34,141,-140.0,qlearning
35,133,-132.0,qlearning
36,61,-60.0,qlearning
37,130,-129.0,qlearning
38,68,-67.0,qlearning
39,155,-154.0,qlearning
40,56,-55.0,qlearning
41,162,-161.0,qlearning
42,64,-63.0,qlearning
43,74,-73.0,qlearning
44,91,-90.0,qlearning
45,78,-77.0,qlearning
46,116,-115.0,qlearning
47,95,-94.0,qlearning
48,95,-94.0,qlearning
49,62,-61.0,qlearning
50,88,-87.0,qlearning
51,49,-48.0,qlearning
52,115,-114.0,qlearning
53,101,-100.0,qlearning
54,147,-146.0,qlearning
55,43,-42.0,qlearning
56,67,-66.0,qlearning
57,153,-252.0,qlearning
58,47,-46.0,qlearning
59,141,-140.0,qlearning
60,85,-84.0,qlearning
61,39,-38.0,qlearning
62,78,-77.0,qlearning
63,92,-91.0,qlearning
64,129,-228.0,qlearning
65,51,-50.0,qlearning
66,75,-74.0,qlearning
67,65,-64.0,qlearning
68,70,-69.0,qlearning
69,100,-99.0,qlearning
