Episode,Step,Return,Algorithm
0,18,-18.0,DQN
1,50,-50.0,DQN
2,50,-50.0,DQN
3,28,-28.0,DQN
4,46,-46.0,DQN
5,50,-50.0,DQN
6,23,-23.0,DQN
7,50,-50.0,DQN
8,26,-26.0,DQN
9,50,-50.0,DQN
10,50,-50.0,DQN
11,39,-39.0,DQN
12,12,-12.0,DQN
13,50,-50.0,DQN
14,50,-50.0,DQN
15,50,-50.0,DQN
16,50,-50.0,DQN
17,50,-50.0,DQN
18,48,-48.0,DQN
19,40,-40.0,DQN
20,50,-50.0,DQN
21,50,-50.0,DQN
22,50,-50.0,DQN
23,17,-17.0,DQN
24,50,-50.0,DQN
25,23,-23.0,DQN
26,50,-50.0,DQN
27,50,-50.0,DQN
28,50,-50.0,DQN
29,50,-50.0,DQN
30,50,-50.0,DQN
31,50,-50.0,DQN
32,50,-50.0,DQN
33,50,-50.0,DQN
34,50,-50.0,DQN
35,14,-14.0,DQN
36,21,-21.0,DQN
37,50,-50.0,DQN
38,11,-11.0,DQN
39,50,-50.0,DQN
40,50,-50.0,DQN
41,50,-50.0,DQN
42,50,-50.0,DQN
43,50,-50.0,DQN
44,36,-36.0,DQN
45,33,-33.0,DQN
46,50,-50.0,DQN
47,50,-50.0,DQN
48,50,-50.0,DQN
49,50,-50.0,DQN
50,22,-22.0,DQN
51,50,-50.0,DQN
52,50,-50.0,DQN
53,16,-16.0,DQN
54,50,-50.0,DQN
55,31,-31.0,DQN
56,50,-50.0,DQN
57,23,-23.0,DQN
58,50,-50.0,DQN
59,50,-50.0,DQN
60,34,-34.0,DQN
61,13,-13.0,DQN
62,50,-50.0,DQN
63,50,-50.0,DQN
64,50,-50.0,DQN
65,22,-22.0,DQN
66,50,-50.0,DQN
67,50,-50.0,DQN
68,50,-50.0,DQN
69,50,-50.0,DQN
70,50,-50.0,DQN
71,50,-50.0,DQN
72,50,-50.0,DQN
73,13,-13.0,DQN
74,50,-50.0,DQN
75,50,-50.0,DQN
76,16,-16.0,DQN
77,50,-50.0,DQN
78,30,-30.0,DQN
79,50,-50.0,DQN
80,40,-40.0,DQN
81,50,-50.0,DQN
82,50,-50.0,DQN
83,50,-50.0,DQN
84,50,-50.0,DQN
85,50,-50.0,DQN
86,15,-15.0,DQN
87,50,-50.0,DQN
88,50,-50.0,DQN
89,50,-50.0,DQN
90,50,-50.0,DQN
91,50,-50.0,DQN
92,50,-50.0,DQN
93,50,-50.0,DQN
94,50,-50.0,DQN
95,50,-50.0,DQN
96,50,-50.0,DQN
97,50,-50.0,DQN
98,35,-35.0,DQN
99,50,-50.0,DQN
100,50,-50.0,DQN
101,50,-50.0,DQN
102,37,-37.0,DQN
103,49,-49.0,DQN
104,50,-50.0,DQN
105,50,-50.0,DQN
106,50,-50.0,DQN
107,50,-50.0,DQN
108,38,-38.0,DQN
109,50,-50.0,DQN
110,29,-29.0,DQN
111,50,-50.0,DQN
112,50,-50.0,DQN
113,50,-50.0,DQN
114,50,-50.0,DQN
115,50,-50.0,DQN
116,50,-50.0,DQN
117,50,-50.0,DQN
118,50,-50.0,DQN
119,50,-50.0,DQN
120,24,-24.0,DQN
121,25,-25.0,DQN
122,50,-50.0,DQN
123,22,-22.0,DQN
124,50,-50.0,DQN
125,23,-23.0,DQN
126,50,-50.0,DQN
127,50,-50.0,DQN
128,49,-49.0,DQN
129,50,-50.0,DQN
130,24,-24.0,DQN
